brand,x,y
YETI_(Verified_Page),22.114822,-32.484276
Eastwood,14.176309,-3.3665912
Carol's_Daughter,15.017874,9.68316
ARB_4x4_Accessories_-_USA_Office,-15.449397,19.1388
Fios_(Verified_Page),-27.812235,42.62381
Rodan_+_Fields_(Verified_Page),-18.617615,33.250095
Lowe's_Home_Improvement_(Verified_Page),-13.749791,23.881664
AMD_(Verified_Page),-15.90621,24.288105
Eucerin_(Verified_Page),-1.1899359,11.380945
Hairfinity_Hair_Vitamins_(Verified_Page),1.1298462,10.158962
Zest_(Verified_Page),2.5664103,8.580771
Pennzoil_(Verified_Page),-28.869928,36.817772
CheapCaribbean.com_(Verified_Page),21.761366,7.2170467
EHPlabs,-9.013379,-21.379248
eSalon_(Verified_Page),-17.109392,32.413345
ENVE_Composites,14.2221365,-31.442
Hoyt_Archery,-20.526102,-20.638117
Polaris_RANGER_ATV_(Verified_Page),-25.90648,28.359644
Carter's_(Verified_Page),7.063172,14.632537
EcoTools_(Verified_Page),2.7796905,-10.268401
Folgers_(Verified_Page),0.05703528,-3.2232263
Wayfair_(Verified_Page),-3.073773,-6.3619647
Sweet_Home_Alabama,-11.30633,22.11598
Autodesk_Fusion_360,-22.03151,23.5582
Bianchi_USA,2.4617805,-0.7098819
My_Makeup_Brush_Set_(Verified_Page),-34.311077,41.95848
HYLETE,-27.117466,24.571323
Sally's_Cottages,-17.747997,-7.523787
Alien_Gear_Holsters_(Verified_Page),18.284658,-36.303772
Poopourri,1.7476707,-13.586506
Perfectly_Posh,-4.5444245,-3.034837
WARN,18.678474,-39.758797
EL_AL_Israel_Airlines_USA_(Verified_Page),32.43072,9.763511
Vega,-22.750204,35.41623
Charity_Miles,-14.895448,30.42889
Primal_Pit_Paste,-0.22758396,-10.89707
Isagenix,-14.402493,14.329695
BioTrust_Nutrition_(Verified_Page),-16.123058,33.42707
Explore_Minnesota_Tourism,30.680586,2.593504
CREDO_Mobile_(Verified_Page),-20.137087,-8.918438
NordicTrack_(Verified_Page),-2.3413541,3.0140896
FLOWER_Beauty,-16.52496,36.468834
JustFab_(Verified_Page),-5.8425813,-3.1397264
Hydroxycut_(Verified_Page),6.6067553,-18.17363
Cleveland_Golf,0.7024104,-27.29212
Wilson_Tennis_(Verified_Page),14.178824,-9.719308
Mercedes-Benz_USA_(Verified_Page),23.06175,-6.288759
Ruger,20.14108,-37.713097
Seabourn_(Verified_Page),24.734585,6.127451
Boosted_Boards,-9.6950865,-11.521899
CrossFit_(Verified_Page),8.688101,-24.698835
Dr_Teal's,-22.410084,41.169697
Red_Roof_Inn,-21.804789,-10.757312
SHEIN_(Verified_Page),-20.675995,32.59123
Salesforce_Marketing_Cloud_(Verified_Page),6.229059,-4.089615
Magnaflow,-27.589117,30.985138
Apple_Vacations,23.031898,6.289418
Bio-Oil_USA,-3.4452848,-13.284223
Blind_Skateboards,8.318802,-35.36085
As_I_Am,-5.585522,2.901611
Uberliss,-24.304344,39.431576
Snap_Fitness,8.397529,-25.248198
Cameron_Hughes_Wine,-28.70032,40.888153
Tatcha_(Verified_Page),-24.93541,16.614109
Saucony_(Verified_Page),-19.066153,22.879
Coupon_Divas,-4.463081,-4.8556013
Hydro_Flask,2.3674378,-6.6935525
Brazilian_Blowout,0.6037426,-13.949738
China_Eastern_Airlines_(Verified_Page),33.780758,8.637213
La_Sportiva,-16.190683,-9.998737
Sinister_Diesel,-33.90081,31.801905
Teva_(Verified_Page),-32.05277,38.068428
Pandora_(Verified_Page),-21.030283,33.997368
The_Roosevelt_Hotel,15.225737,32.424652
BSN_(Verified_Page),-9.520952,-21.936993
Target_(Verified_Page),7.54074,15.170135
PJ_Trailers,-35.1662,30.87007
Getaway_Cabins_in_Hocking_Hills,-24.234472,-14.239331
Andis_Company,3.0263925,-8.849641
Muscle_Pharm_(Verified_Page),-8.738053,-22.177345
Rotiform,10.511122,-1.809623
Smith_(Verified_Page),-21.835297,25.992348
The_Purple_Flower_(Verified_Page),13.415777,-16.840832
Firefighter_Turnout_Bags,-23.517336,-15.012705
T-Mobile_(Verified_Page),23.129957,1.303761
Cellucor_(Verified_Page),0.7669354,8.101298
Virgin_Mobile_USA_(Verified_Page),-22.513773,-8.414836
The_Kahala_Hotel_&_Resort,16.358017,30.158989
Hotel_Monteleone,17.60306,30.365038
ROAD_iD_(Verified_Page),-28.567385,41.245937
Health_eCareers,4.062993,-21.571274
Berkley_Fishing_(Verified_Page),25.39874,-31.476065
Esri,-16.036345,19.020592
Harry's_(Verified_Page),-21.450262,35.96024
Lime_Crime_(Verified_Page),10.944856,12.780981
Tenzing_Outdoors,29.529276,-14.165863
Faygo_Beverages_Inc.,-19.594496,38.070168
CURLS,-6.6251674,2.7101996
Orbitz_(Verified_Page),28.557966,10.00629
Callaway_Golf,4.810659,-27.546394
Unity,17.749475,-13.219217
National_Geographic_Travel_(Verified_Page),32.098454,2.993934
Hilton_Hawaiian_Village_Waikiki_Beach_Resort,15.706065,29.867422
Baby_Magic,6.586001,-16.450178
Labrada_Nutrition,-31.583294,36.522926
PENN_Fishing_(Verified_Page),25.023214,-31.83417
Mongoose_Bicycles,3.0565746,-2.1813133
Schwinn_Bikes,3.780455,-8.449309
Ewing_Athletics,-4.813049,3.5668826
Big_Game_Logic,30.043932,-13.322793
AT&T_Latino_(Verified_Page),-21.934496,-8.40371
SilencerCo,19.817896,-35.154762
Land_Rover_(Verified_Page),23.758314,-6.3269725
Premier_Protein,0.95371264,9.360649
Simply_Orange_Juice,-22.010506,36.37185
Eddie_Bauer,18.04035,-29.458693
Fairfield_Inn_&_Suites_by_Marriott_(Verified_Page),-17.11374,-14.666044
SpringHill_Suites_by_Marriott_(Verified_Page),-16.612728,-14.866221
American_Airlines_(Verified_Page),30.990465,8.702364
LA_Fitness,11.506584,-24.88832
Browning,22.003916,-36.59997
Honest_Beauty_(Verified_Page),-1.1122557,-15.028606
Palmer's,4.2270184,-14.75626
Rocky_Boots,-6.7989955,-35.317444
Easton_Baseball,-0.8398886,-21.706076
Avian_X,-8.883875,-36.126553
Gold_Bond_Powder_(Verified_Page),4.9874535,-17.627869
Stren,-24.408524,-20.246609
smartwater_(Verified_Page),-20.837944,35.147743
Tactical_Tailor,-1.8145972,-35.123154
Trek_Bicycle_(Verified_Page),14.765704,-31.535711
Walgreens_(Verified_Page),-14.713381,23.870441
Capital_One_(Verified_Page),-16.352396,26.251242
Old_Town_Canoes_&_Kayaks,-9.625012,-31.998579
Alexa_Jean_Fitness_(Verified_Page),9.311813,-24.914387
Dr._Bronner's,-0.48254326,-10.391575
Giant_Bicycles_USA,2.6035926,-0.31331652
Onnit_(Verified_Page),-21.334286,33.084095
Fish_Shimano,32.08279,-15.483924
Earth_Mama_Organics,-14.955012,12.936264
DERMA_E,3.107657,-11.093813
Strike_King_Lure_Company,-23.815147,-19.62374
Cooper_Tire,-31.124533,35.116005
Under_Armour_Football_(Verified_Page),17.117395,-22.69162
The_Time_New_York,16.881895,32.938168
INFINITI_(Verified_Page),-18.26927,21.114498
Holland_America_Line_(Verified_Page),24.704782,6.0408015
Amazon.com_(Verified_Page),4.5346255,13.111221
Califia_Farms,-22.788937,40.864784
Costco_(Verified_Page),6.3253417,14.976999
Nitrous_Express,13.085881,-1.8817725
Gaia,-7.8898277,-4.657365
GitHub,-22.653532,-4.1418247
Fish_G.Loomis,-10.740402,-32.38784
Gray_Line_New_York,12.876498,-12.514809
Vera_Bradley_(Verified_Page),3.3812962,11.344406
Jamberry,-10.000897,-0.49202958
Bigelow_Tea,4.4828753,-11.488428
Indian_Motorcycle_(Verified_Page),25.210737,-10.755202
Miami_International_Airport_-_MIA_(Verified_Page),32.621605,10.183611
Independent_Trucks,8.443887,-34.368393
Biltwell_Inc.,-31.01772,29.13839
T-Mobile_Latino_(Verified_Page),-26.15561,24.88405
Edge_Products,-33.67526,32.073967
PEAK_Antifreeze_&_Motor_Oil,4.2677817,5.1914554
Adobe_Creative_Cloud_(Verified_Page),17.213736,-13.981677
Dimecuba,-15.8262,17.718063
30A_(Verified_Page),23.2753,7.628091
AND1_BASKETBALL_(Verified_Page),15.738393,-23.38876
Duck_Commander_(Verified_Page),22.957172,-34.21036
BarkBox_(Verified_Page),-6.468342,-6.3845634
Meguiar's_(Verified_Page),3.7667863,8.130581
Loaded_Boards,-9.70178,-11.5701
Osprey_Packs,-18.741508,13.809681
Amway_US_(Verified_Page),9.980297,-20.292082
Lancme_(Verified_Page),-18.509035,27.786428
RIDE_100%,-16.706778,-7.9883933
Pixi_Beauty,1.1707402,-15.377789
Garden_of_Life,-2.615613,-9.121466
Concept_One_Wheels,8.464785,0.07117918
Hippie_Runner_Funktional_Runwear,19.198744,-27.292982
Orvis_Fly_Fishing_(Verified_Page),31.30277,-13.845726
Myprotein_(Verified_Page),-8.206628,-24.15409
Kryptek_Outdoor_Group,-20.251518,-20.828669
Survival_Straps,-30.184889,22.880249
Hyatt_Regency_Lost_Pines_Resort_and_Spa,-26.44005,35.782227
Colt,19.833706,-38.088326
Jergens_US_(Verified_Page),-2.7359948,-18.91109
Frontier_Airlines_(Verified_Page),28.970917,9.499686
Celebrity_Cruises_(Verified_Page),23.881977,4.621992
Dollar_Shave_Club_(Verified_Page),-9.144537,-3.5686197
Kawasaki_USA,25.030796,-10.566734
Carmex_(Verified_Page),-3.155012,12.265484
evamor_Natural_Artesian_Water,8.664734,-12.035197
Smith_&_Wesson_Corp.,19.174992,-37.633163
Sierra_Nevada,30.915255,-1.6573817
E'TAE_Natural_Products,-14.631113,18.876272
Altra_Running_(Verified_Page),33.237156,0.5077433
Taco_Bueno_(Verified_Page),-18.0599,25.826483
ChapStick_(Verified_Page),-19.121975,26.580154
Burger_King_(Verified_Page),8.035872,16.815771
Jetsetter_(Verified_Page),35.03755,6.0659027
republic_wireless,-25.162687,26.630535
Intuit_QuickBooks_(Verified_Page),22.599478,2.1867135
Yamaha_Motor_USA_(Verified_Page),15.961344,-36.116253
